GeneID	SRR5364316	SRR5364317	SRR5364318	SRR5364322	SRR5364323
ENSMUSG00000104478	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0
ENSMUSG00000101231	0	0	0	0	0
ENSMUSG00000101097	0	0	0	0	0
ENSMUSG00000100764	11	18	9	21	10
ENSMUSG00000100831	0	0	0	0	0
ENSMUSG00000100884	0	0	0	0	0
ENSMUSG00000100635	23	20	15	27	23
ENSMUSG00000100480	24	15	19	22	33
ENSMUSG00000089037	0	0	0	0	0
ENSMUSG00002076531	0	0	0	0	0
ENSMUSG00000100025	0	0	0	0	0
ENSMUSG00000100290	0	0	0	0	0
ENSMUSG00000100758	0	0	0	0	0
ENSMUSG00000099926	0	0	0	0	0
ENSMUSG00000118715	0	0	0	0	0
ENSMUSG00000104158	0	1	2	1	0
ENSMUSG00000103540	58	42	34	50	86
ENSMUSG00000102788	10	10	6	5	7
ENSMUSG00000102160	8	10	5	5	6
ENSMUSG00000101253	1	0	0	0	0
ENSMUSG00000101846	0	0	1	0	0
ENSMUSG00000090243	0	1	0	1	0
ENSMUSG00000100701	2	0	2	1	5
ENSMUSG00000100555	2	0	1	3	0
ENSMUSG00000101395	0	0	0	0	0
ENSMUSG00000102728	0	0	0	0	0
ENSMUSG00000088848	0	0	0	0	0
ENSMUSG00002075225	0	0	0	0	0
ENSMUSG00000101875	0	0	0	1	1
ENSMUSG00000099732	0	0	0	0	0
ENSMUSG00000101220	0	0	0	0	0
ENSMUSG00000100020	0	0	0	0	0
ENSMUSG00000088691	0	0	0	0	0
ENSMUSG00000099884	0	0	0	0	0
ENSMUSG00000100304	0	0	0	0	0
ENSMUSG00000101453	0	0	0	0	0
ENSMUSG00000102105	0	0	0	0	0
ENSMUSG00000099943	0	0	0	0	0
ENSMUSG00002075119	0	0	0	0	0
ENSMUSG00000101687	0	0	0	0	0
ENSMUSG00000078184	21	33	23	22	26
ENSMUSG00000104363	4	6	2	4	0
ENSMUSG00000103277	4	4	1	1	5
ENSMUSG00000104157	68	74	88	82	85
ENSMUSG00000102446	0	0	0	0	0
ENSMUSG00000104248	0	0	0	0	0
ENSMUSG00000103471	0	0	0	0	0
ENSMUSG00000087875	0	0	0	0	0
ENSMUSG00000070695	570	512	764	661	538
ENSMUSG00002076179	0	0	0	0	0
ENSMUSG00000102033	0	0	0	0	0
ENSMUSG00000094429	0	0	0	0	0
ENSMUSG00000065625	0	0	0	0	0
ENSMUSG00000103411	1	0	1	1	0
ENSMUSG00000061024	329	286	292	426	369
ENSMUSG00000102030	5	6	11	6	10
ENSMUSG00000081441	4	2	5	4	6
ENSMUSG00000099827	0	0	0	0	1
ENSMUSG00000103634	11	12	6	4	7
ENSMUSG00000104154	557	524	491	595	491
ENSMUSG00000065573	0	0	0	0	0
ENSMUSG00002076271	0	1	0	0	0
ENSMUSG00000103367	0	0	0	0	0
ENSMUSG00000103584	0	0	1	0	0
ENSMUSG00002076339	0	0	0	0	0
ENSMUSG00000102475	0	3	0	1	0
ENSMUSG00000102211	1	1	3	3	9
ENSMUSG00000090106	0	0	0	0	0
ENSMUSG00000103251	5	1	0	0	0
ENSMUSG00000091844	27	27	20	22	21
ENSMUSG00000098611	0	0	0	0	0
ENSMUSG00000100534	5	1	10	3	7
ENSMUSG00000102904	0	0	0	0	0
ENSMUSG00002076350	0	0	0	0	0
ENSMUSG00000104391	79	88	48	63	56
ENSMUSG00000102133	11	5	3	9	8
ENSMUSG00000102749	1	2	3	2	5
ENSMUSG00000103163	1	1	2	3	0
ENSMUSG00000103646	10	5	6	6	2
ENSMUSG00000102427	3	0	1	2	0
ENSMUSG00000103767	1	0	3	0	0
ENSMUSG00000101104	0	1	0	0	0
ENSMUSG00000084557	1	2	1	0	1
ENSMUSG00000100685	0	1	0	0	0
ENSMUSG00000102090	0	0	0	0	0
ENSMUSG00000103744	0	0	0	0	0
ENSMUSG00000089657	0	1	0	0	0
ENSMUSG00000099141	0	0	0	0	0
ENSMUSG00000101849	2	0	0	1	0
ENSMUSG00000101506	0	0	0	0	0
ENSMUSG00000065215	0	0	0	0	0
ENSMUSG00000080878	0	0	0	0	0
ENSMUSG00000104097	58	44	53	78	74
ENSMUSG00000119789	0	0	0	0	0
ENSMUSG00000102493	5	3	3	3	3
ENSMUSG00000089703	0	1	1	0	0
ENSMUSG00000100966	0	0	0	0	0
ENSMUSG00000101567	0	2	2	5	3
ENSMUSG00000104018	50	45	37	57	38
ENSMUSG00000090486	19	13	80	32	27
ENSMUSG00000086145	0	0	0	0	0
ENSMUSG00000080950	2	3	10	3	4
ENSMUSG00000099868	0	0	1	1	0
ENSMUSG00000055547	0	0	0	0	0
ENSMUSG00000100562	0	0	0	0	0
ENSMUSG00000102319	1	2	0	0	0
ENSMUSG00000089877	0	0	1	0	0
ENSMUSG00000101701	2	0	1	0	0
ENSMUSG00000103071	0	0	0	0	0
ENSMUSG00000100434	0	0	0	0	0
ENSMUSG00000100013	0	0	0	0	0
ENSMUSG00000101251	0	0	0	0	0
ENSMUSG00000101937	0	0	0	0	0
ENSMUSG00002075531	0	0	0	0	0
ENSMUSG00000064954	0	0	1	0	0
ENSMUSG00000064967	0	0	0	0	0
ENSMUSG00000102922	0	0	0	0	0
ENSMUSG00000099377	1	0	0	2	1
ENSMUSG00000099706	0	0	0	0	1
ENSMUSG00000101324	2	0	1	2	0
ENSMUSG00000072978	4	1	0	2	0
ENSMUSG00000046334	5	4	3	9	5
ENSMUSG00002075801	0	0	0	0	0
ENSMUSG00000099562	0	0	0	0	0
ENSMUSG00000077782	0	0	0	0	0
ENSMUSG00000096474	9	7	15	15	5
ENSMUSG00000102235	2	1	0	1	1
ENSMUSG00000082395	8	6	7	6	6
ENSMUSG00002074901	0	0	0	0	0
ENSMUSG00000093178	0	0	0	0	0
ENSMUSG00000104025	0	0	0	0	0
ENSMUSG00000100394	2	1	1	3	0
ENSMUSG00000103840	0	0	0	0	0
ENSMUSG00000087236	1	2	0	2	3
ENSMUSG00000100702	0	0	0	0	0
ENSMUSG00000104476	0	1	0	0	0
ENSMUSG00000104497	1	1	1	0	0
ENSMUSG00000087199	0	0	0	0	0
ENSMUSG00000119658	0	2	0	0	0
ENSMUSG00000067106	16	23	28	23	16
ENSMUSG00000099969	0	0	0	0	1
ENSMUSG00000100397	7	2	2	5	2
ENSMUSG00000099753	0	0	0	0	0
ENSMUSG00000118883	0	0	0	0	0
ENSMUSG00000102518	0	1	0	0	0
ENSMUSG00000103404	1	1	2	0	1
ENSMUSG00000104418	2	1	2	0	1
ENSMUSG00000103076	32	41	27	54	28
ENSMUSG00000103525	2	0	1	1	3
ENSMUSG00000090637	0	0	0	0	0
ENSMUSG00000110100	0	0	0	0	0
ENSMUSG00000103818	1	0	0	1	0
ENSMUSG00000079138	3	0	1	1	0
ENSMUSG00000064435	9	15	10	10	8
ENSMUSG00000103543	27	35	22	47	34
ENSMUSG00000041144	670	635	597	668	615
ENSMUSG00000119743	1	0	0	0	0
ENSMUSG00000101262	1	0	1	2	1
ENSMUSG00000099858	2	4	1	2	3
ENSMUSG00000101337	68	65	70	81	57
ENSMUSG00000100213	249	178	182	236	275
ENSMUSG00000103129	0	0	0	1	0
ENSMUSG00000100160	0	0	0	0	0
ENSMUSG00000101921	0	0	0	0	0
ENSMUSG00000101447	0	0	0	0	0
ENSMUSG00000081185	5	1	1	1	4
ENSMUSG00000103246	0	0	0	0	0
ENSMUSG00000098876	0	0	0	0	0
ENSMUSG00000100530	0	0	0	0	0
ENSMUSG00000104067	0	0	0	0	0
ENSMUSG00000100033	3	2	3	6	3
ENSMUSG00002075213	0	0	0	0	0
ENSMUSG00002076633	0	0	0	0	0
ENSMUSG00000101996	0	0	0	0	0
ENSMUSG00000096973	0	0	0	0	0
ENSMUSG00000064943	0	0	0	0	0
ENSMUSG00000100866	0	0	0	0	0
ENSMUSG00000101721	0	0	0	0	0
ENSMUSG00000099376	0	0	0	0	0
ENSMUSG00000097883	0	0	0	0	0
ENSMUSG00002076043	0	0	0	0	0
ENSMUSG00000099698	0	0	0	0	0
ENSMUSG00000099454	0	0	0	0	0
ENSMUSG00000051616	0	0	0	0	0
ENSMUSG00000099627	0	0	0	0	0
ENSMUSG00000099577	0	0	0	0	0
ENSMUSG00000099882	0	0	0	0	0
ENSMUSG00000101760	0	0	0	0	0
ENSMUSG00000102356	0	0	0	0	0
ENSMUSG00000099864	0	0	0	0	0
ENSMUSG00002075839	0	0	0	0	0
ENSMUSG00000100451	0	0	0	0	0
ENSMUSG00000099941	0	0	0	0	0
ENSMUSG00002075589	0	0	0	0	0
ENSMUSG00000100816	0	0	0	0	0
ENSMUSG00000100945	4	11	7	15	16
ENSMUSG00000102404	8	6	3	5	13
ENSMUSG00000100671	13	16	13	8	7
ENSMUSG00002075527	0	0	0	0	1
ENSMUSG00000101242	6	2	1	0	0
ENSMUSG00000099924	6	8	2	5	2
ENSMUSG00000099625	16	18	21	21	9
ENSMUSG00000099741	2	2	2	3	3
ENSMUSG00002076532	4	1	3	3	4
ENSMUSG00000102556	3	1	0	0	0
ENSMUSG00000042501	2	1	3	2	2
ENSMUSG00000103810	0	0	0	0	0
ENSMUSG00000083422	0	0	0	0	0
