Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR5364316_1	(1, 0.0672842691800662)	(2, 0.00028791530876686074)	(3, 6.373697674991573e-05)	(4, 0.0027538769609532555)	(5, 0.0018066136168424388)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 6.0440236573195947e-05)	(16, 6.593480353439559e-06)	(18, 0.0001131880794007124)	(20, 1.9780441060318673e-05)	(22, 0.0005120936407838057)	(24, 0.0012340797394854374)	(26, 0.002475851872716554)	(28, 0.004195651331572039)	(30, 0.008448446159540553)	(32, 0.007738548108153561)	(34, 0.006092375846578152)	(36, 0.004140705661960042)	(38, 0.004342905726132189)	(40, 0.006344027013401095)	(42, 0.009910000971219657)	(44, 0.005826438805656089)	(46, 0.004883571115114233)	(48, 0.005187970124764692)	(50, 0.005396763669290278)	(52, 0.004084661078955806)	(54, 0.0018747462471613145)	(56, 0.003942901251356856)	(58, 0.003616523973861598)	(60, 0.003406631515943772)	(62, 0.006466006399939727)	(64, 0.006441830305310448)	(66, 0.006150618256366868)	(68, 0.007127552262068162)	(70, 0.007787999210804358)	(72, 0.0057517126949837745)	(74, 0.002745085653815336)	(76, 0.0019219995230276314)	(78, 0.00035275119890901637)	(80, 0.0005340719086286042)	(82, 0.0001461554811679102)	(84, 9.670437851711353e-05)	(86, 8.241850441799448e-05)	(88, 0.00028791530876686074)	(90, 0.0001450565677756703)	(92, 0.00018132070971958785)	(94, 0.000568138223788042)	(96, 0.0006681393424818752)	(98, 0.0008560535325549027)	(100, 0.0013362786849637504)
SRR5364316_2	(1, 0.012738604042845226)	(2, 0.026464032311921907)	(3, 0.02991022470998632)	(4, 0.03266629949772405)	(5, 0.034921269778600376)	(6, 0.017134257611804933)	(7, 0.016644142238865928)	(8, 0.011110014395545655)	(9, 0.013338610755008227)	(10, 0.011823209187109367)	(12, 0.011590239547954503)	(14, 0.010466051147693058)	(16, 0.008716581027247096)	(18, 0.008283609150704566)	(20, 0.005260498408652527)	(22, 0.005942923625233521)	(24, 0.004564886231364654)	(26, 0.00492532982401935)	(28, 0.005807757277988011)	(30, 0.0037011403050640724)	(32, 0.0039000436290594987)	(34, 0.0029758574661857204)	(36, 0.2564391324729325)	(38, 0.0012285851725242377)	(40, 0.0012461677868000765)	(42, 0.0011824308100501608)	(44, 0.0007890198156282671)	(46, 0.0013450699921016699)	(48, 0.002041781082781783)	(50, 0.0025879410387250265)	(52, 0.004601150373308572)	(54, 0.005541820237065949)	(56, 0.006662711897150673)	(58, 0.009318785566194575)	(60, 0.008856143028061567)	(62, 0.0077627242027828395)	(64, 0.008768229956682373)	(66, 0.013051794359633604)	(68, 0.529627902870386)	(70, 0.012125410369975347)	(72, 0.01402103597158922)	(74, 0.01242321589927237)	(76, 0.007723163320662203)	(78, 0.006074793232302313)	(80, 0.005493468047807392)	(82, 0.002156068075574736)	(84, 0.0011978155975415196)	(86, 0.0012912232358819136)	(88, 0.0015033135205842194)	(90, 0.001953868011402589)	(92, 0.0013989167483214264)	(94, 0.0038286142585639035)	(96, 0.003442895657887689)	(98, 0.0025406877628587096)	(100, 0.003890153408529339)
SRR5364317_1	(1, 0.06841323112776586)	(2, 0.0002473076595008417)	(3, 5.1328004802061486e-05)	(4, 0.0019387987268415043)	(5, 0.0012085412039758113)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 4.666182254732862e-05)	(16, 0.0)	(18, 0.0001049891007314894)	(20, 1.7498183455248233e-05)	(22, 0.0005191127758390309)	(24, 0.0011548801080463833)	(26, 0.002273597303618587)	(28, 0.00393592473186717)	(30, 0.007822854550059643)	(32, 0.007182421035597558)	(34, 0.005828061636161345)	(36, 0.003913760366157188)	(38, 0.003947590187504001)	(40, 0.00584089363736186)	(42, 0.00924720668331685)	(44, 0.005387107413089089)	(46, 0.00454952769836454)	(48, 0.004942653553325784)	(50, 0.005059308109694106)	(52, 0.0037387785316047055)	(54, 0.0017101557963595938)	(56, 0.003559130514797491)	(58, 0.003480971962030715)	(60, 0.003443642503992852)	(62, 0.006732134448015836)	(64, 0.006659808623067477)	(66, 0.006256183858033085)	(68, 0.007327072685494276)	(70, 0.007836853096823842)	(72, 0.005745236901139836)	(74, 0.0027192177089455753)	(76, 0.0019527972736057028)	(78, 0.00036396221586916327)	(80, 0.0005529425971858442)	(82, 0.0001504843777151348)	(84, 9.449019065834045e-05)	(86, 8.049164389414188e-05)	(88, 0.0002636392973924067)	(90, 0.00011665455636832154)	(92, 0.00015748365109723408)	(94, 0.0005681076895137259)	(96, 0.0006567651523536503)	(98, 0.0008737426271987283)	(100, 0.001304197940197835)
SRR5364317_2	(1, 0.011429813432968146)	(2, 0.02430381027377611)	(3, 0.02742315311106503)	(4, 0.03001288426244177)	(5, 0.032080003001288424)	(6, 0.01572736728957711)	(7, 0.015351739618071117)	(8, 0.009959966022727293)	(9, 0.012202066596126434)	(10, 0.010745051187086097)	(12, 0.01035425842325222)	(14, 0.009583171805657615)	(16, 0.00789401382944432)	(18, 0.007573213799431436)	(20, 0.0046988455305159915)	(22, 0.005458266692473765)	(24, 0.0040409138325986586)	(26, 0.00442237423192307)	(28, 0.005206292850718191)	(30, 0.0032919915807140343)	(32, 0.0035288003301417272)	(34, 0.002625894063850918)	(36, 0.2553439918890554)	(38, 0.0009985630025128324)	(40, 0.0009787317279302177)	(42, 0.000991563729130733)	(44, 0.000606603693115272)	(46, 0.0011490473802279672)	(48, 0.001942298363532554)	(50, 0.0024765762316994668)	(52, 0.004339549496901561)	(54, 0.00522029139748239)	(56, 0.006249184584650985)	(58, 0.008735093180859917)	(60, 0.008417792787538084)	(62, 0.007472890880954679)	(64, 0.008361798600481288)	(66, 0.012154238228015422)	(68, 0.5272435984179029)	(70, 0.011469475982133374)	(72, 0.013087474678961996)	(74, 0.011870767656040402)	(76, 0.007370234871350556)	(78, 0.005651913256045179)	(80, 0.0051153022967509)	(82, 0.001893303449857859)	(84, 0.001027726641604913)	(86, 0.0011105513766264212)	(88, 0.001256369572086823)	(90, 0.0017159885241780101)	(92, 0.0012318721152494755)	(94, 0.003456474505193368)	(96, 0.0031088439272157695)	(98, 0.0023995842244963744)	(100, 0.0034459755951202187)
SRR5364318_1	(1, 0.060819279046517294)	(2, 0.0004281123431460706)	(3, 3.643509303370813e-05)	(4, 0.002454814393146085)	(5, 0.001628193219943832)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 6.717720278089937e-05)	(16, 1.138596657303379e-06)	(18, 0.00010930527910112438)	(20, 1.8217546516854065e-05)	(22, 0.0005078141091573071)	(24, 0.0012399317598033798)	(26, 0.002504912646067434)	(28, 0.004188897102219132)	(30, 0.00837665560778096)	(32, 0.0076957748067135396)	(34, 0.006150699142752854)	(36, 0.003998751460449468)	(38, 0.004204837455421379)	(40, 0.006027730703764089)	(42, 0.009793069849466363)	(44, 0.005671349950028131)	(46, 0.0048219568436798105)	(48, 0.0049733901991011594)	(50, 0.005262593750056218)	(52, 0.0038826146014045225)	(54, 0.001810368685112373)	(56, 0.003818853188595534)	(58, 0.0034852443680056435)	(60, 0.003257525036544968)	(62, 0.00639208163410117)	(64, 0.006286192144971957)	(66, 0.0059161482313483576)	(68, 0.006955686979466343)	(70, 0.007603548477471966)	(72, 0.005584816604073074)	(74, 0.002664316178089907)	(76, 0.0017750721887359682)	(78, 0.0003142526774157326)	(80, 0.0004998439325561835)	(82, 0.00014460177547752915)	(84, 0.00011499826238764129)	(86, 6.03456228370791e-05)	(88, 0.00027895618103932786)	(90, 0.00014346317882022575)	(92, 0.0001901456417696643)	(94, 0.0005214772690449477)	(96, 0.0006216737748876449)	(98, 0.0008209281899157363)	(100, 0.0013139405425280995)
SRR5364318_2	(1, 0.012383377244831552)	(2, 0.025975944139719293)	(3, 0.029487376230842913)	(4, 0.03220634504848338)	(5, 0.03469076295471935)	(6, 0.017044791959831586)	(7, 0.016530146270730458)	(8, 0.011135475308427047)	(9, 0.013362570370112455)	(10, 0.011824326286095591)	(12, 0.01142923324601132)	(14, 0.010370338354719177)	(16, 0.008607790729213546)	(18, 0.008250271378820286)	(20, 0.005260316556741611)	(22, 0.0059309499878933015)	(24, 0.00455552522587082)	(26, 0.004924430542837114)	(28, 0.005663379773427008)	(30, 0.0036696970264887907)	(32, 0.003997612863792164)	(34, 0.003066240798118)	(36, 0.25748566387255806)	(38, 0.0011636457837640535)	(40, 0.001120379110786525)	(42, 0.0011761703469943905)	(44, 0.0007047913308707917)	(46, 0.0013139405425280995)	(48, 0.0020289792433146217)	(50, 0.0025686740588764232)	(52, 0.004432556786882055)	(54, 0.005373037625814646)	(56, 0.006404606197331507)	(58, 0.008901548666797817)	(60, 0.008582741602752872)	(62, 0.007520430921488818)	(64, 0.008501901240084332)	(66, 0.012597433416404584)	(68, 0.530395896661605)	(70, 0.01177992101646076)	(72, 0.013449103716067513)	(74, 0.012122638610309077)	(76, 0.0076399835705056734)	(78, 0.006035700880365213)	(80, 0.005437937635280938)	(82, 0.00207224591629215)	(84, 0.0011852791202528177)	(86, 0.0012683966762359643)	(88, 0.001357207215505628)	(90, 0.001888931854466306)	(92, 0.0013788405519943921)	(94, 0.0038086058186798033)	(96, 0.003378216282219126)	(98, 0.0025720898488483333)	(100, 0.0039213268877528375)
SRR5364322_1	(1, 0.06831328826771947)	(2, 0.0002349329745546333)	(3, 6.339461218140898e-05)	(4, 0.0025264617501708575)	(5, 0.0017135190763151427)	(6, 1.864547417100264e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 6.059779105575858e-05)	(16, 4.66136854275066e-06)	(18, 9.975328681486414e-05)	(20, 2.1442295296653038e-05)	(22, 0.0005062246237427216)	(24, 0.0012529758642913775)	(26, 0.002441624842692796)	(28, 0.004069374737821326)	(30, 0.008149936760145254)	(32, 0.007298770864238985)	(34, 0.005911547585916387)	(36, 0.003973350545840663)	(38, 0.004133701623711285)	(40, 0.005910615312207837)	(42, 0.00946910405774369)	(44, 0.005488295322234627)	(46, 0.00465950399533356)	(48, 0.004929863370813099)	(50, 0.005158270429407881)	(52, 0.0037617244139997825)	(54, 0.0017526745720742483)	(56, 0.00359950878871206)	(58, 0.003511875060108348)	(60, 0.0033039780231016677)	(62, 0.006455063158001114)	(64, 0.006388871724694055)	(66, 0.006089611864249463)	(68, 0.007077821995312602)	(70, 0.007594301629849375)	(72, 0.005556351302958787)	(74, 0.0026504541534080254)	(76, 0.001844969669220711)	(78, 0.00030951487123864383)	(80, 0.0005285991927479249)	(82, 0.00014450242482527047)	(84, 0.00010441465535761478)	(86, 7.364962297546043e-05)	(88, 0.00027129164918808843)	(90, 0.00013424741403121902)	(92, 0.00018179337316727575)	(94, 0.0005341928349992256)	(96, 0.0006264879321456888)	(98, 0.0007896358311419618)	(100, 0.001279079528130781)
SRR5364322_2	(1, 0.012772149807136807)	(2, 0.027332400587272772)	(3, 0.030973861692869583)	(4, 0.03384899381003819)	(5, 0.03639223648696296)	(6, 0.017612514901929097)	(7, 0.017496912962068876)	(8, 0.01150798665834283)	(9, 0.014004615649840083)	(10, 0.012293893394650592)	(12, 0.011837079277461027)	(14, 0.010613936171843252)	(16, 0.00903652905697643)	(18, 0.008516320327605456)	(20, 0.005358709276746159)	(22, 0.0061035959698777145)	(24, 0.004627806689242855)	(26, 0.004986732067034656)	(28, 0.005876121184991482)	(30, 0.003616289715465962)	(32, 0.004030219242062221)	(34, 0.003157611050859297)	(36, 0.26084459001007565)	(38, 0.001207294452572421)	(40, 0.0011466966615166624)	(42, 0.0010954216075464052)	(44, 0.0006889502706185476)	(46, 0.001293063633759033)	(48, 0.001956842514246727)	(50, 0.0024406925689842455)	(52, 0.004415248283693426)	(54, 0.005341928349992257)	(56, 0.006455063158001114)	(58, 0.008784815155667893)	(60, 0.008632854541174222)	(62, 0.007616676198854579)	(64, 0.008658958205013625)	(66, 0.01256238822271303)	(68, 0.5309485224934711)	(70, 0.011810043339913073)	(72, 0.01349466193126316)	(74, 0.0120039562712915)	(76, 0.007506667901245663)	(78, 0.005982400387766197)	(80, 0.005232852326091891)	(82, 0.0021293131503285012)	(84, 0.0011830553361501176)	(86, 0.0012315335689947245)	(88, 0.0014095978473277996)	(90, 0.0019409938612013748)	(92, 0.0014412951534185042)	(94, 0.0037971508149246876)	(96, 0.003325420318398321)	(98, 0.002483577159577552)	(100, 0.0038596131533975464)
SRR5364323_1	(1, 0.06815844192378236)	(2, 0.00030182796860000533)	(3, 6.998909416811718e-05)	(4, 0.0027755050156043964)	(5, 0.0017453530358174222)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 4.702392264420373e-05)	(16, 8.748636771014647e-06)	(18, 0.00010826438004130625)	(20, 1.9684432734782954e-05)	(22, 0.0004932043979659508)	(24, 0.0012324642051166883)	(26, 0.0025414789819797547)	(28, 0.0040385894494196365)	(30, 0.008324327887620437)	(32, 0.0075872552396624516)	(34, 0.0060474951679638745)	(36, 0.004014530698299346)	(38, 0.004338230258826888)	(40, 0.006056243804734889)	(42, 0.009695676701476983)	(44, 0.005743480040171116)	(46, 0.00501406244938777)	(48, 0.005143104841760235)	(50, 0.005301673883234876)	(52, 0.003970787514444273)	(54, 0.0018831440649609025)	(56, 0.003932512228571083)	(58, 0.0037509780155725297)	(60, 0.0034425885693942634)	(62, 0.006807532987445772)	(64, 0.006746292530048669)	(66, 0.006241058756522573)	(68, 0.0073969723898928835)	(70, 0.007883615310280574)	(72, 0.0058386214650559)	(74, 0.002861897803718166)	(76, 0.0019575074775145273)	(78, 0.0003029215481963821)	(80, 0.0004953915571587043)	(82, 0.00013341671075797336)	(84, 5.577255941521837e-05)	(86, 6.01468778007257e-05)	(88, 0.00024277467039565643)	(90, 0.0001345102903543502)	(92, 0.00016513051905290145)	(94, 0.0005413219002065313)	(96, 0.0006167788923565326)	(98, 0.0008037810033369707)	(100, 0.0013101083564594433)
SRR5364323_2	(1, 0.012490866149816161)	(2, 0.026482123505861335)	(3, 0.029970642418303425)	(4, 0.03269146845408898)	(5, 0.0351214023172383)	(6, 0.017372605468042337)	(7, 0.016882681808865516)	(8, 0.01139728655343933)	(9, 0.01369599086502343)	(10, 0.01199438101306108)	(12, 0.011625844689082088)	(14, 0.010450246622976996)	(16, 0.008837216718321168)	(18, 0.00840962709613783)	(20, 0.0052798022913073395)	(22, 0.0059840675513740185)	(24, 0.004671772035721822)	(26, 0.004998752335038494)	(28, 0.005912984877609524)	(30, 0.003626309941585571)	(32, 0.0040025013227392)	(34, 0.0029712557633558494)	(36, 0.2607913942459647)	(38, 0.0012062182948036444)	(40, 0.00122152840915292)	(42, 0.0011745044865087164)	(44, 0.0007731607746384194)	(46, 0.0013199505728268349)	(48, 0.002157632543651487)	(50, 0.002610374496551495)	(52, 0.004562414076084138)	(54, 0.005447119969552995)	(56, 0.0066544318439530166)	(58, 0.009022031670108854)	(60, 0.008815345126393632)	(62, 0.007786286726203036)	(64, 0.008746449611821892)	(66, 0.012803629914379935)	(68, 0.5264317204222644)	(70, 0.011975790159922674)	(72, 0.01386112138407633)	(74, 0.012326829210359639)	(76, 0.007713016893245788)	(78, 0.006034372212807353)	(80, 0.005300580303638499)	(82, 0.002140135270109458)	(84, 0.0011712237477195858)	(86, 0.0012193412499601664)	(88, 0.0014019690425550971)	(90, 0.0018612724730333661)	(92, 0.0013658809158746618)	(94, 0.003721451366470355)	(96, 0.003281832368726869)	(98, 0.002533823924805117)	(100, 0.0037925340402348495)
