Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR5364316_1	(1, 26.898251916708254)	(2, 32.09005689755958)	(3, 32.18017997168364)	(4, 32.54808039500925)	(5, 32.77955078662308)	(6, 36.52227061177454)	(7, 36.633652605036836)	(8, 36.637101588674916)	(9, 36.6934138669815)	(10, 36.678966969103016)	(12, 36.70549977141503)	(14, 36.695688650670846)	(16, 36.69306308283757)	(18, 36.70802371173779)	(20, 36.680648086810464)	(22, 36.68685469470417)	(24, 36.66073392996858)	(26, 36.64926528518748)	(28, 36.641717541411616)	(30, 36.652244186643756)	(32, 36.63753102205033)	(34, 36.62852008608184)	(36, 36.62140850103137)	(38, 36.61501202288175)	(40, 36.60616901186873)	(42, 36.59180138960235)	(44, 36.560699118590136)	(46, 36.570754022281264)	(48, 36.55536336659239)	(50, 36.5263616245729)	(52, 36.48163301431218)	(54, 36.44749037961765)	(56, 36.42451940835997)	(58, 36.40908352139587)	(60, 36.36424511869814)	(62, 36.35669906724891)	(64, 36.33267533696146)	(66, 36.314512738175466)	(68, 36.272906525481794)	(70, 36.263264373660796)	(72, 36.231753295877525)	(74, 36.212331056626546)	(76, 36.18359732859429)	(78, 36.16369234767923)	(80, 36.12205913468351)	(82, 36.10143206876754)	(84, 36.06787745164006)	(86, 36.0372538343341)	(88, 35.9874089360692)	(90, 35.93894066858901)	(92, 35.89850879870282)	(94, 35.84108000241146)	(96, 35.733295862584484)	(98, 35.578703748576004)	(100, 35.34845774428553)
SRR5364316_2	(1, 32.617930780808074)	(2, 32.66118486907909)	(3, 32.66004452665196)	(4, 32.63664490224737)	(5, 32.66296891101485)	(6, 36.46966751781905)	(7, 36.48661188319667)	(8, 36.49817133119137)	(9, 36.48177884011933)	(10, 36.47733876847106)	(12, 36.450415258491574)	(14, 36.44626793737099)	(16, 36.44528605825502)	(18, 36.416595176855935)	(20, 36.43713953855)	(22, 36.41790859814234)	(24, 36.41592392758855)	(26, 36.424241658000085)	(28, 36.40227281883219)	(30, 36.413738386655794)	(32, 36.42146942918548)	(34, 36.418083259436905)	(36, 36.171466258820345)	(38, 36.346588151942186)	(40, 36.38764923765851)	(42, 36.37283622579426)	(44, 36.37019484459727)	(46, 36.356050499553945)	(48, 36.33566867813972)	(50, 36.3238614691316)	(52, 36.3091015018168)	(54, 36.2926880324881)	(56, 36.26919297844453)	(58, 36.25357761694521)	(60, 36.22066373226021)	(62, 36.20472787267005)	(64, 36.192184908178426)	(66, 36.17149710531927)	(68, 35.863389537698346)	(70, 36.05687955937793)	(72, 36.10449582831597)	(74, 36.084446395235496)	(76, 36.04264829028527)	(78, 36.00334300443053)	(80, 35.995779403334424)	(82, 35.96711514860682)	(84, 35.92651087019853)	(86, 35.881828623093824)	(88, 35.82620741845221)	(90, 35.77361446746734)	(92, 35.71488209615356)	(94, 35.65002257937347)	(96, 35.558430807500685)	(98, 35.38605026372713)	(100, 35.16131446393543)
SRR5364317_1	(1, 26.410807139408167)	(2, 31.182046901104375)	(3, 31.908752899332345)	(4, 32.57896661887874)	(5, 32.693181531847905)	(6, 36.360694908392574)	(7, 36.60151820772313)	(8, 36.66615372102837)	(9, 36.720780413382684)	(10, 36.73007507513953)	(12, 36.70926797352744)	(14, 36.704870656694226)	(16, 36.713688329635545)	(18, 36.727199178695926)	(20, 36.70369901332643)	(22, 36.715495437033695)	(24, 36.69155548398669)	(26, 36.678927978223484)	(28, 36.66779433904368)	(30, 36.672943132863566)	(32, 36.654899577691836)	(34, 36.644281633309376)	(36, 36.63743128113393)	(38, 36.633912804732034)	(40, 36.62582113142227)	(42, 36.613685814563304)	(44, 36.58235404555202)	(46, 36.590547674944034)	(48, 36.576006777816374)	(50, 36.550676010821064)	(52, 36.50934125358666)	(54, 36.477431507910396)	(56, 36.45635935548078)	(58, 36.44276019892121)	(60, 36.39944425069419)	(62, 36.39204830515861)	(64, 36.36923944635561)	(66, 36.35231361681573)	(68, 36.31280801469063)	(70, 36.30349592474306)	(72, 36.27232781040891)	(74, 36.25535605397019)	(76, 36.22610099270228)	(78, 36.20746673385347)	(80, 36.16836920103201)	(82, 36.14801249099661)	(84, 36.11616313738416)	(86, 36.08772826263663)	(88, 36.039069559058845)	(90, 35.99273778724785)	(92, 35.95494616718857)	(94, 35.900341767519976)	(96, 35.797319369285205)	(98, 35.65052097224947)	(100, 35.43241674270988)
SRR5364317_2	(1, 32.586725990019225)	(2, 32.62270920781477)	(3, 32.62215946155243)	(4, 32.601204663606524)	(5, 32.624528762254094)	(6, 36.41781544185293)	(7, 36.44008167032153)	(8, 36.446961349452444)	(9, 36.43140331791689)	(10, 36.42393101030872)	(12, 36.399481848457704)	(14, 36.3943368459109)	(16, 36.39147858763622)	(18, 36.364872541365244)	(20, 36.382545543338665)	(22, 36.36298368245398)	(24, 36.35953217743288)	(26, 36.36621083743226)	(28, 36.34250616496)	(30, 36.35130919775448)	(32, 36.358863968468555)	(34, 36.35416282484327)	(36, 36.109605786457955)	(38, 36.283825866757354)	(40, 36.32344360890748)	(42, 36.307449312662015)	(44, 36.30531791726261)	(46, 36.290442303216366)	(48, 36.26782910910075)	(50, 36.25596658892185)	(52, 36.23961311329733)	(54, 36.22226245119407)	(56, 36.19710881247715)	(58, 36.18038813164009)	(60, 36.14684930508414)	(62, 36.12860970026499)	(64, 36.11611583396156)	(66, 36.09299785224963)	(68, 35.78540629102157)	(70, 35.97585711468673)	(72, 36.02163953686088)	(74, 35.99938824017549)	(76, 35.95626009411876)	(78, 35.91225244269975)	(80, 35.90190078567311)	(82, 35.87074742814033)	(84, 35.82715534691292)	(86, 35.77912102518264)	(88, 35.71799759560961)	(90, 35.66065021569894)	(92, 35.597925457365186)	(94, 35.52582554563069)	(96, 35.42518196710939)	(98, 35.23786981594151)	(100, 34.988816934284664)
SRR5364318_1	(1, 30.233505474725693)	(2, 27.594894892385195)	(3, 30.683874399398803)	(4, 32.43231344600446)	(5, 32.6876080627855)	(6, 36.11346910430495)	(7, 36.31640617358949)	(8, 36.44012868237245)	(9, 36.590566198385396)	(10, 36.59775231455636)	(12, 36.649095554606674)	(14, 36.62158078569864)	(16, 36.6399241585321)	(18, 36.677166812630965)	(20, 36.67214982556585)	(22, 36.69722999017141)	(24, 36.680663966720005)	(26, 36.67732765079477)	(28, 36.66495258530554)	(30, 36.66908509910129)	(32, 36.65248445092554)	(34, 36.64109235870249)	(36, 36.637134403160275)	(38, 36.63904757573757)	(40, 36.63032534465833)	(42, 36.62167435557194)	(44, 36.58571436476542)	(46, 36.59380988947255)	(48, 36.581937662425084)	(50, 36.56209232119711)	(52, 36.524999688593816)	(54, 36.496464099466706)	(56, 36.47652445966359)	(58, 36.462312359555526)	(60, 36.418780860381474)	(62, 36.412274201765754)	(64, 36.389641131868004)	(66, 36.372214830326214)	(68, 36.333854996573166)	(70, 36.32479304240928)	(72, 36.293843537280964)	(74, 36.27719944025677)	(76, 36.24958360950944)	(78, 36.23101550046777)	(80, 36.191450188889775)	(82, 36.17155786916372)	(84, 36.13947186239595)	(86, 36.111857967262935)	(88, 36.06493674059446)	(90, 36.018593237869894)	(92, 35.98148361740447)	(94, 35.926970125751396)	(96, 35.82592106150365)	(98, 35.68182166902922)	(100, 35.46727790482366)
SRR5364318_2	(1, 32.601433989619686)	(2, 32.64435302626581)	(3, 32.64720887717359)	(4, 32.62768702264193)	(5, 32.652499116050485)	(6, 36.45833648250192)	(7, 36.47652030378578)	(8, 36.48621274446268)	(9, 36.47311548988565)	(10, 36.46631870545568)	(12, 36.44217615242549)	(14, 36.43903778152912)	(16, 36.43715732083379)	(18, 36.411323610188504)	(20, 36.42998945636724)	(22, 36.41107187785353)	(24, 36.40823753503661)	(26, 36.41629963054588)	(28, 36.39301585265849)	(30, 36.40208257754236)	(32, 36.40895633110637)	(34, 36.40617364641979)	(36, 36.15867179010873)	(38, 36.33453899712907)	(40, 36.375171173774966)	(42, 36.36013435395012)	(44, 36.35775499435746)	(46, 36.34297039646414)	(48, 36.321884952686865)	(50, 36.31035085468872)	(52, 36.29548580355559)	(54, 36.279249665713714)	(56, 36.255522757393265)	(58, 36.23961921502095)	(60, 36.207540916552546)	(62, 36.19180763992436)	(64, 36.17974362765594)	(66, 36.15917622258581)	(68, 35.85141208871298)	(70, 36.04545975815706)	(72, 36.09320569315635)	(74, 36.072454723533134)	(76, 36.03176500221218)	(78, 35.99093114594038)	(80, 35.98360828431086)	(82, 35.95511489157588)	(84, 35.91427989670743)	(86, 35.86964646368844)	(88, 35.81353179771409)	(90, 35.760272948489636)	(92, 35.701623014882344)	(94, 35.63549738581624)	(96, 35.542629548446)	(98, 35.36877092840283)	(100, 35.139863323312696)
SRR5364322_1	(1, 29.154797635261634)	(2, 31.65029779246163)	(3, 32.44530928161635)	(4, 32.63110938072824)	(5, 32.757115084975446)	(6, 36.49023791960661)	(7, 36.66089291535003)	(8, 36.68875324389298)	(9, 36.72861255036562)	(10, 36.73646009482566)	(12, 36.72462820831275)	(14, 36.72513741621236)	(16, 36.72100056350352)	(18, 36.729644465488136)	(20, 36.70183755622869)	(22, 36.71125395885369)	(24, 36.685924855979565)	(26, 36.67333898378213)	(28, 36.66229420663862)	(30, 36.66735137198433)	(32, 36.65048997136391)	(34, 36.64044081592744)	(36, 36.632819953819634)	(38, 36.62982909856703)	(40, 36.620757320241125)	(42, 36.60919964339412)	(44, 36.5778317468956)	(46, 36.584918714495984)	(48, 36.57053538129752)	(50, 36.54665015597499)	(52, 36.50857854959765)	(54, 36.478132289564655)	(56, 36.45643375883921)	(58, 36.44232856017896)	(60, 36.39919752303079)	(62, 36.391658924755035)	(64, 36.36873795012925)	(66, 36.35140865065724)	(68, 36.31209659817426)	(70, 36.30228784815901)	(72, 36.27166326281105)	(74, 36.254298453033485)	(76, 36.22572360195209)	(78, 36.207408712038145)	(80, 36.167168888728625)	(82, 36.14753498068087)	(84, 36.11601040626288)	(86, 36.087299722902145)	(88, 36.039229909846526)	(90, 35.9918603555416)	(92, 35.954725637627675)	(94, 35.90002275307213)	(96, 35.79785853186506)	(98, 35.653330944972396)	(100, 35.441064154639)
SRR5364322_2	(1, 32.54504565698615)	(2, 32.586787224076346)	(3, 32.58430001104931)	(4, 32.559531922524776)	(5, 32.585527312095664)	(6, 36.36310263524317)	(7, 36.38834394590217)	(8, 36.39569074750787)	(9, 36.38091389225429)	(10, 36.36975457596294)	(12, 36.34467576993409)	(14, 36.337247310474254)	(16, 36.33434640098905)	(18, 36.306524165149824)	(20, 36.32564659055012)	(22, 36.30571173522651)	(24, 36.302169691789196)	(26, 36.30964526836226)	(28, 36.285611298769524)	(30, 36.29725715938662)	(32, 36.30468782833515)	(34, 36.29951123872736)	(36, 36.0517948524992)	(38, 36.22457317619575)	(40, 36.26458531029742)	(42, 36.24913610856797)	(44, 36.245098710818354)	(46, 36.22945181112627)	(48, 36.20618173728758)	(50, 36.19282920980592)	(52, 36.17583805533074)	(54, 36.15674884684268)	(56, 36.13057770503225)	(58, 36.11263095136033)	(60, 36.076853232411096)	(62, 36.05785290689841)	(64, 36.0426210368159)	(66, 36.01870513036562)	(68, 35.70843560220537)	(70, 35.897380530895575)	(72, 35.94152312230845)	(74, 35.917699594859954)	(76, 35.87233675038994)	(78, 35.82790038088602)	(80, 35.81511362234987)	(82, 35.780119498098145)	(84, 35.733705766735646)	(86, 35.68259314281363)	(88, 35.618177868053365)	(90, 35.55612776236895)	(92, 35.48737862681975)	(94, 35.41028406603645)	(96, 35.3001207313098)	(98, 35.098183748090094)	(100, 34.8339157930858)
SRR5364323_1	(1, 26.839026483195212)	(2, 32.07177099463404)	(3, 32.17927546808542)	(4, 32.54262382858761)	(5, 32.77658181968977)	(6, 36.5231486413728)	(7, 36.639278942606516)	(8, 36.640622536370216)	(9, 36.696037451514236)	(10, 36.684157546413324)	(12, 36.70856849577842)	(14, 36.69820759460847)	(16, 36.697614010539354)	(18, 36.71056959333865)	(20, 36.68443258168181)	(22, 36.69181531566536)	(24, 36.666071391194436)	(26, 36.65340679898995)	(28, 36.644694151923446)	(30, 36.65416884899588)	(32, 36.639480325289185)	(34, 36.629576146701865)	(36, 36.62199335326696)	(38, 36.61532386283196)	(40, 36.607177482216265)	(42, 36.59208094396216)	(44, 36.56185376964214)	(46, 36.57080108795422)	(48, 36.55520831608667)	(50, 36.52634230935446)	(52, 36.48309412336789)	(54, 36.45005292815888)	(56, 36.426478173496356)	(58, 36.41105777164479)	(60, 36.3650148883207)	(62, 36.356393948839155)	(64, 36.33196242924184)	(66, 36.31313779065732)	(68, 36.27061021894579)	(70, 36.25958443231704)	(72, 36.22663965802104)	(74, 36.205882325280044)	(76, 36.175200101554175)	(78, 36.15348524145439)	(80, 36.110482859353695)	(82, 36.0868430257694)	(84, 36.05129907523191)	(86, 36.01774353673134)	(88, 35.964291487604854)	(90, 35.911242553789194)	(92, 35.866732584728524)	(94, 35.80452780884333)	(96, 35.69189036803306)	(98, 35.52613586339826)	(100, 35.28363920280759)
SRR5364323_2	(1, 32.608444044233195)	(2, 32.6480038268287)	(3, 32.64897022311801)	(4, 32.62569963668442)	(5, 32.65697925013641)	(6, 36.461804687602694)	(7, 36.47230191440513)	(8, 36.484165612656426)	(9, 36.4706552241205)	(10, 36.46806730081306)	(12, 36.444984952235394)	(14, 36.439974137717414)	(16, 36.436736332863234)	(18, 36.40987549180735)	(20, 36.42607602053559)	(22, 36.40632389522379)	(24, 36.40328417044191)	(26, 36.41129202733013)	(28, 36.388052028317844)	(30, 36.398032637183164)	(32, 36.40449385538403)	(34, 36.40086287585757)	(36, 36.15331393221062)	(38, 36.32584070189088)	(40, 36.367367134289324)	(42, 36.35199572480367)	(44, 36.34941621112333)	(46, 36.334742253896856)	(48, 36.311545855903084)	(50, 36.29899054510766)	(52, 36.283481246170695)	(54, 36.26537840292717)	(56, 36.24112256689202)	(58, 36.22370776018735)	(60, 36.18944538651466)	(62, 36.172061101616535)	(64, 36.16025971553064)	(66, 36.1380082687303)	(68, 35.82991895547226)	(70, 36.01936622294383)	(72, 36.066898069567365)	(74, 36.044983784292384)	(76, 36.00262499565576)	(78, 35.960989402142005)	(80, 35.950976532678595)	(82, 35.920001481144205)	(84, 35.87780261758775)	(86, 35.83165087935063)	(88, 35.77203789804466)	(90, 35.71623202819493)	(92, 35.65421050344271)	(94, 35.58765927358013)	(96, 35.491371033644214)	(98, 35.309807075280645)	(100, 35.0728218371398)
