Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
SRR5364316_1	(2.0, 166.0)	(3.0, 462.0)	(4.0, 792.0)	(5.0, 958.0)	(6.0, 1324.0)	(7.0, 1880.0)	(8.0, 3107.0)	(9.0, 5071.0)	(10.0, 6699.0)	(11.0, 7556.0)	(12.0, 8484.0)	(13.0, 9331.0)	(14.0, 10416.0)	(15.0, 11718.0)	(16.0, 13150.0)	(17.0, 14579.0)	(18.0, 16146.0)	(19.0, 17462.0)	(20.0, 19365.0)	(21.0, 21668.0)	(22.0, 25163.0)	(23.0, 30200.0)	(24.0, 38312.0)	(25.0, 50973.0)	(26.0, 69216.0)	(27.0, 94388.0)	(28.0, 129087.0)	(29.0, 174593.0)	(30.0, 238139.0)	(31.0, 328891.0)	(32.0, 468971.0)	(33.0, 719680.0)	(34.0, 1291893.0)	(35.0, 3556340.0)	(36.0, 38113311.0)
SRR5364316_2	(2.0, 13602.0)	(3.0, 15080.0)	(4.0, 15127.0)	(5.0, 12656.0)	(6.0, 11760.0)	(7.0, 11627.0)	(8.0, 12325.0)	(9.0, 13787.0)	(10.0, 14395.0)	(11.0, 15794.0)	(12.0, 16210.0)	(13.0, 17193.0)	(14.0, 18391.0)	(15.0, 19764.0)	(16.0, 21359.0)	(17.0, 23434.0)	(18.0, 25816.0)	(19.0, 27718.0)	(20.0, 31119.0)	(21.0, 35873.0)	(22.0, 44969.0)	(23.0, 59636.0)	(24.0, 74876.0)	(25.0, 94166.0)	(26.0, 116516.0)	(27.0, 144380.0)	(28.0, 178160.0)	(29.0, 223362.0)	(30.0, 283279.0)	(31.0, 368436.0)	(32.0, 505614.0)	(33.0, 751221.0)	(34.0, 1245394.0)	(35.0, 3048842.0)	(36.0, 37987610.0)
SRR5364317_1	(2.0, 169.0)	(3.0, 407.0)	(4.0, 694.0)	(5.0, 874.0)	(6.0, 1125.0)	(7.0, 1672.0)	(8.0, 2652.0)	(9.0, 4159.0)	(10.0, 5605.0)	(11.0, 6456.0)	(12.0, 7170.0)	(13.0, 7982.0)	(14.0, 9090.0)	(15.0, 10261.0)	(16.0, 11373.0)	(17.0, 12554.0)	(18.0, 14265.0)	(19.0, 15155.0)	(20.0, 17246.0)	(21.0, 19242.0)	(22.0, 22292.0)	(23.0, 27004.0)	(24.0, 34682.0)	(25.0, 46570.0)	(26.0, 63270.0)	(27.0, 86743.0)	(28.0, 117638.0)	(29.0, 159767.0)	(30.0, 215782.0)	(31.0, 296976.0)	(32.0, 424504.0)	(33.0, 649296.0)	(34.0, 1167564.0)	(35.0, 3286720.0)	(36.0, 36114633.0)
SRR5364317_2	(2.0, 16590.0)	(3.0, 17503.0)	(4.0, 17213.0)	(5.0, 14174.0)	(6.0, 12883.0)	(7.0, 12642.0)	(8.0, 13039.0)	(9.0, 14034.0)	(10.0, 14828.0)	(11.0, 15748.0)	(12.0, 16346.0)	(13.0, 17503.0)	(14.0, 18607.0)	(15.0, 19860.0)	(16.0, 21570.0)	(17.0, 23686.0)	(18.0, 26135.0)	(19.0, 28845.0)	(20.0, 32517.0)	(21.0, 37553.0)	(22.0, 47292.0)	(23.0, 62537.0)	(24.0, 80569.0)	(25.0, 101218.0)	(26.0, 124768.0)	(27.0, 154850.0)	(28.0, 188710.0)	(29.0, 234660.0)	(30.0, 295550.0)	(31.0, 381602.0)	(32.0, 514588.0)	(33.0, 759194.0)	(34.0, 1247728.0)	(35.0, 3006234.0)	(36.0, 35270816.0)
SRR5364318_1	(2.0, 195.0)	(3.0, 291.0)	(4.0, 552.0)	(5.0, 781.0)	(6.0, 1070.0)	(7.0, 1644.0)	(8.0, 2743.0)	(9.0, 4603.0)	(10.0, 6037.0)	(11.0, 6821.0)	(12.0, 7475.0)	(13.0, 8205.0)	(14.0, 9046.0)	(15.0, 10169.0)	(16.0, 11103.0)	(17.0, 12259.0)	(18.0, 13860.0)	(19.0, 15031.0)	(20.0, 16871.0)	(21.0, 18892.0)	(22.0, 21958.0)	(23.0, 26395.0)	(24.0, 33971.0)	(25.0, 46013.0)	(26.0, 61912.0)	(27.0, 85887.0)	(28.0, 117988.0)	(29.0, 161453.0)	(30.0, 221651.0)	(31.0, 305744.0)	(32.0, 441578.0)	(33.0, 687253.0)	(34.0, 1262297.0)	(35.0, 3731504.0)	(36.0, 36560455.0)
SRR5364318_2	(2.0, 14134.0)	(3.0, 15024.0)	(4.0, 15154.0)	(5.0, 12712.0)	(6.0, 11684.0)	(7.0, 11800.0)	(8.0, 12499.0)	(9.0, 13506.0)	(10.0, 14276.0)	(11.0, 15347.0)	(12.0, 15828.0)	(13.0, 16891.0)	(14.0, 17853.0)	(15.0, 19242.0)	(16.0, 20537.0)	(17.0, 22549.0)	(18.0, 24941.0)	(19.0, 27221.0)	(20.0, 30411.0)	(21.0, 35286.0)	(22.0, 43750.0)	(23.0, 57929.0)	(24.0, 73350.0)	(25.0, 92845.0)	(26.0, 115619.0)	(27.0, 143597.0)	(28.0, 177933.0)	(29.0, 220583.0)	(30.0, 280515.0)	(31.0, 362171.0)	(32.0, 492819.0)	(33.0, 728171.0)	(34.0, 1206433.0)	(35.0, 2947608.0)	(36.0, 36603489.0)
SRR5364322_1	(2.0, 219.0)	(3.0, 647.0)	(4.0, 1082.0)	(5.0, 1214.0)	(6.0, 1679.0)	(7.0, 2248.0)	(8.0, 3712.0)	(9.0, 6052.0)	(10.0, 8271.0)	(11.0, 9054.0)	(12.0, 10211.0)	(13.0, 11298.0)	(14.0, 12354.0)	(15.0, 14030.0)	(16.0, 15326.0)	(17.0, 17056.0)	(18.0, 18628.0)	(19.0, 20156.0)	(20.0, 22833.0)	(21.0, 25304.0)	(22.0, 28893.0)	(23.0, 34517.0)	(24.0, 43951.0)	(25.0, 57778.0)	(26.0, 78616.0)	(27.0, 107672.0)	(28.0, 146380.0)	(29.0, 197923.0)	(30.0, 266992.0)	(31.0, 367414.0)	(32.0, 520401.0)	(33.0, 786997.0)	(34.0, 1385218.0)	(35.0, 3677825.0)	(36.0, 45730367.0)
SRR5364322_2	(2.0, 20967.0)	(3.0, 21803.0)	(4.0, 22817.0)	(5.0, 19265.0)	(6.0, 17841.0)	(7.0, 17593.0)	(8.0, 18200.0)	(9.0, 19496.0)	(10.0, 20353.0)	(11.0, 21978.0)	(12.0, 23067.0)	(13.0, 24429.0)	(14.0, 26514.0)	(15.0, 28202.0)	(16.0, 30894.0)	(17.0, 33033.0)	(18.0, 36900.0)	(19.0, 40444.0)	(20.0, 45766.0)	(21.0, 53733.0)	(22.0, 67839.0)	(23.0, 90181.0)	(24.0, 115648.0)	(25.0, 144291.0)	(26.0, 178166.0)	(27.0, 217558.0)	(28.0, 264852.0)	(29.0, 325111.0)	(30.0, 405638.0)	(31.0, 519593.0)	(32.0, 694669.0)	(33.0, 1005205.0)	(34.0, 1629071.0)	(35.0, 3839409.0)	(36.0, 43591792.0)
SRR5364323_1	(2.0, 150.0)	(3.0, 447.0)	(4.0, 875.0)	(5.0, 1086.0)	(6.0, 1429.0)	(7.0, 2092.0)	(8.0, 3185.0)	(9.0, 5256.0)	(10.0, 6938.0)	(11.0, 7776.0)	(12.0, 8607.0)	(13.0, 9688.0)	(14.0, 10562.0)	(15.0, 11966.0)	(16.0, 13348.0)	(17.0, 14828.0)	(18.0, 16298.0)	(19.0, 18032.0)	(20.0, 19922.0)	(21.0, 22218.0)	(22.0, 25940.0)	(23.0, 30935.0)	(24.0, 39132.0)	(25.0, 52200.0)	(26.0, 70725.0)	(27.0, 97083.0)	(28.0, 131762.0)	(29.0, 177451.0)	(30.0, 242202.0)	(31.0, 332688.0)	(32.0, 475681.0)	(33.0, 729772.0)	(34.0, 1303702.0)	(35.0, 3578550.0)	(36.0, 38258883.0)
SRR5364323_2	(2.0, 15036.0)	(3.0, 16904.0)	(4.0, 16546.0)	(5.0, 13636.0)	(6.0, 12792.0)	(7.0, 12388.0)	(8.0, 13304.0)	(9.0, 14521.0)	(10.0, 15213.0)	(11.0, 16427.0)	(12.0, 17041.0)	(13.0, 18447.0)	(14.0, 19276.0)	(15.0, 21023.0)	(16.0, 22538.0)	(17.0, 24817.0)	(18.0, 26968.0)	(19.0, 29177.0)	(20.0, 32642.0)	(21.0, 37511.0)	(22.0, 47136.0)	(23.0, 62026.0)	(24.0, 78522.0)	(25.0, 97673.0)	(26.0, 120141.0)	(27.0, 149409.0)	(28.0, 184699.0)	(29.0, 230304.0)	(30.0, 293353.0)	(31.0, 379650.0)	(32.0, 518523.0)	(33.0, 773673.0)	(34.0, 1283933.0)	(35.0, 3147228.0)	(36.0, 37958932.0)
