Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR5364316	15.6696	97.1409	8685.833741	89.752248	47.1153	98.62994731083916	98.25913688792694	3.3235899276323777	100.0	100.0						
SRR5364316_1											64.08509110225964	46.0	100.0	100	20.0	45.499491
SRR5364316_2											60.524389930015964	47.0	100.0	100	20.0	45.499491
SRR5364317	14.8124	96.9894	8168.795238	84.468558	47.1518	98.53642160561839	98.2506248834621	2.624734517560617	100.0	100.0						
SRR5364317_1											61.65740493733795	46.0	100.0	100	20.0	42.861591999999995
SRR5364317_2											58.78900660168383	47.0	100.0	100	20.0	42.861591999999995
SRR5364318	15.9342	96.9539	8376.672311	86.645074	47.1149	98.65379162820392	98.37305874678263	2.5645512003803277	100.0	100.0						
SRR5364318_1											63.65485698641017	46.0	100.0	100	20.0	43.913706999999995
SRR5364318_2											60.36290817460523	47.0	100.0	100	20.0	43.913706999999995
SRR5364322	16.3716	97.0668	10212.217829	105.52785399999999	47.3936	98.38084380391689	98.08281791027566	2.666162965397095	100.0	100.0						
SRR5364322_1											65.63279859953605	47.0	100.0	100	20.0	53.632318
SRR5364322_2											62.17817070763138	47.0	100.0	100	20.0	53.632318
SRR5364323	15.384300000000001	97.09400000000001	8711.527893	90.139376	47.1696	98.57458242373939	98.11886683107251	3.948254306860928	100.0	100.0						
SRR5364323_1											64.21671352111602	46.0	100.0	100	20.0	45.721409
SRR5364323_2											60.51457762035316	47.0	100.0	100	20.0	45.721409
